CustomerID,LastPurchaseDate,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
12407.0,2011-10-21 10:11:00,49,67,1375.77,3,3,3,333,Others
12408.0,2011-11-07 12:27:00,32,96,2430.11,3,4,4,344,Others
12409.0,2011-09-22 10:38:00,78,94,9267.07,2,4,4,244,Others
12410.0,2011-02-04 10:38:00,308,14,274.23,1,1,2,112,Others
12412.0,2011-09-26 10:16:00,74,58,1142.88,2,3,3,233,Others
12413.0,2011-10-04 09:00:00,66,31,545.2,2,2,2,222,Others
12414.0,2011-05-06 14:51:00,216,15,442.41,1,1,2,112,Others
12415.0,2011-11-15 14:22:00,23,678,113631.68,3,4,4,344,Others
12417.0,2011-12-06 14:52:00,2,143,2279.55,4,4,4,444,Best Customers
12418.0,2011-08-19 11:08:00,112,26,432.08,2,2,2,222,Others
12420.0,2011-10-07 08:55:00,63,22,410.54,2,2,2,222,Others
12421.0,2011-11-24 09:07:00,15,40,626.29,4,3,3,433,Others
12422.0,2011-09-05 09:48:00,95,37,645.3100000000001,2,2,3,223,Others
12423.0,2011-12-09 10:10:00,0,111,1535.61,4,4,4,444,Best Customers
12424.0,2011-06-30 12:06:00,162,30,1760.96,1,2,4,124,Others
12425.0,2011-09-22 17:31:00,77,34,734.7,2,2,3,223,Others
12426.0,2011-05-29 12:26:00,194,25,446.08,1,2,2,122,Others
12427.0,2011-11-18 08:56:00,21,24,486.09999999999997,3,2,2,322,Others
12428.0,2011-11-14 08:22:00,25,257,5203.81,3,4,4,344,Others
12429.0,2011-11-30 17:22:00,8,84,2866.6,4,3,4,434,Others
12430.0,2011-10-27 15:09:00,42,9,168.6,3,1,1,311,Others
12431.0,2011-11-04 11:55:00,35,202,5627.85,3,4,4,344,Others
12432.0,2011-10-28 11:43:00,42,91,3247.7200000000003,3,3,4,334,Others
12433.0,2011-12-09 10:02:00,0,401,12871.67,4,4,4,444,Best Customers
12434.0,2011-09-16 12:38:00,84,39,624.84,2,3,3,233,Others
12435.0,2011-09-21 09:06:00,79,22,3650.1400000000003,2,2,4,224,Others
12436.0,2011-09-01 12:09:00,99,15,429.01000000000005,2,1,2,212,Others
12437.0,2011-12-08 11:35:00,1,159,3321.16,4,4,4,444,Best Customers
12438.0,2011-11-25 13:28:00,13,82,1793.8,4,3,4,434,Others
12441.0,2010-12-08 10:45:00,366,10,155.55,1,1,1,111,Churned Customers
12442.0,2011-12-06 14:22:00,2,11,144.06,4,1,1,411,Others
12444.0,2011-11-18 13:23:00,20,127,2382.56,3,4,4,344,Others
12445.0,2011-11-17 18:43:00,21,3,77.4,3,1,1,311,Others
12446.0,2011-10-13 12:50:00,57,46,734.36,2,3,3,233,Others
12447.0,2011-04-10 13:25:00,242,22,379.78999999999996,1,2,2,122,Others
12448.0,2011-10-26 13:46:00,43,19,283.95,3,2,2,322,Others
12449.0,2011-11-17 13:46:00,21,157,2733.84,3,4,4,344,Others
12450.0,2011-07-06 14:41:00,155,8,197.88,1,1,1,111,Churned Customers
12451.0,2011-11-29 08:40:00,10,330,8137.07,4,4,4,444,Best Customers
12452.0,2011-11-23 08:05:00,16,19,287.67,4,2,2,422,Others
12453.0,2011-07-28 14:08:00,133,43,707.09,2,3,3,233,Others
12454.0,2011-10-14 17:13:00,55,12,2662.64,2,1,4,214,Others
12455.0,2011-09-27 15:31:00,72,84,2271.86,2,3,4,234,Others
12456.0,2011-10-26 14:41:00,43,108,2004.84,3,4,4,344,Others
12457.0,2011-10-04 13:13:00,65,54,1789.6299999999999,2,3,4,234,Others
12458.0,2011-09-29 15:25:00,70,34,736.4,2,2,3,223,Others
12461.0,2011-07-08 10:23:00,154,29,419.08,1,2,2,122,Others
12462.0,2011-11-21 09:11:00,18,46,695.24,3,3,3,333,Others
12463.0,2011-10-17 13:44:00,52,76,1155.38,2,3,3,233,Others
12464.0,2011-07-13 11:58:00,149,4,76.5,1,1,1,111,Churned Customers
12465.0,2011-11-22 16:34:00,16,44,662.29,4,3,3,433,Others
12468.0,2011-06-05 11:36:00,187,34,599.39,1,2,3,123,Others
12471.0,2011-12-07 15:43:00,1,410,11891.1,4,4,4,444,Best Customers
12472.0,2011-11-07 14:01:00,31,317,5528.61,3,4,4,344,Others
12473.0,2011-10-17 11:27:00,53,155,2462.73,2,4,4,244,Others
12474.0,2011-11-22 14:39:00,16,389,6381.94,4,4,4,444,Best Customers
12475.0,2011-10-17 10:10:00,53,34,621.68,2,2,3,223,Others
12476.0,2011-11-24 12:40:00,15,174,4001.07,4,4,4,444,Best Customers
12477.0,2011-11-17 09:51:00,22,243,9479.14,3,4,4,344,Others
12478.0,2011-12-06 09:56:00,3,32,479.59000000000003,4,2,2,422,Others
12479.0,2011-11-28 13:26:00,10,28,426.35,4,2,2,422,Others
12480.0,2011-11-11 14:52:00,27,141,2711.78,3,4,4,344,Others
12481.0,2011-11-17 08:29:00,22,187,4266.42,3,4,4,344,Others
12483.0,2011-11-22 17:02:00,16,68,1910.98,4,3,4,434,Others
12484.0,2011-11-04 15:18:00,34,316,3440.42,3,4,4,344,Others
12488.0,2011-11-30 08:50:00,9,48,1011.5600000000001,4,3,3,433,Others
12489.0,2011-01-07 13:13:00,335,10,191.43,1,1,1,111,Churned Customers
12490.0,2011-12-04 16:07:00,4,229,4717.43,4,4,4,444,Best Customers
12491.0,2011-11-01 12:18:00,38,24,397.55,3,2,2,322,Others
12492.0,2011-10-07 15:15:00,62,18,227.21,2,2,1,221,Others
12493.0,2011-06-27 10:17:00,165,19,362.79,1,2,2,122,Others
12494.0,2011-11-24 09:34:00,15,65,951.75,4,3,3,433,Others
12497.0,2011-09-19 12:29:00,81,13,953.1,2,1,3,213,Others
12498.0,2011-11-18 12:53:00,20,21,349.70000000000005,3,2,2,322,Others
12500.0,2011-11-16 16:20:00,22,46,3352.57,3,3,4,334,Others
12501.0,2011-01-07 12:28:00,336,141,1895.94,1,4,4,144,Others
12502.0,2011-09-05 11:52:00,95,92,1552.1200000000001,2,4,4,244,Others
12504.0,2011-11-09 14:56:00,29,2,60.0,3,1,1,311,Others
12506.0,2011-04-21 08:54:00,232,21,57.6,1,2,1,121,Others
12507.0,2011-07-28 17:09:00,133,19,1027.31,2,2,3,223,Others
12508.0,2011-11-13 15:37:00,25,68,398.27,3,3,2,332,Others
12509.0,2011-02-28 14:45:00,283,5,124.5,1,1,1,111,Churned Customers
12510.0,2011-07-20 10:15:00,142,30,782.77,1,2,3,123,Others
12512.0,2011-10-04 14:55:00,65,30,130.07999999999998,2,2,1,221,Others
12513.0,2011-08-19 10:51:00,112,33,520.04,2,2,2,222,Others
12514.0,2011-03-17 16:38:00,266,44,779.68,1,3,3,133,Others
12515.0,2010-12-21 15:43:00,352,11,190.8,1,1,1,111,Churned Customers
12516.0,2011-09-23 09:13:00,77,24,1186.06,2,2,3,223,Others
12517.0,2011-11-11 13:57:00,27,265,2198.09,3,4,4,344,Others
12518.0,2011-12-09 10:13:00,0,114,1750.09,4,4,4,444,Best Customers
12519.0,2011-10-07 09:26:00,63,15,252.84,2,1,2,212,Others
12520.0,2011-09-21 15:23:00,78,136,2061.56,2,4,4,244,Others
12521.0,2011-07-20 10:51:00,142,34,499.03,1,2,2,122,Others
12522.0,2011-10-31 15:30:00,38,10,156.72,3,1,1,311,Others
12523.0,2011-11-20 12:55:00,18,80,1298.07,3,3,3,333,Others
12524.0,2011-11-30 15:31:00,8,129,3660.07,4,4,4,444,Best Customers
12526.0,2011-12-09 12:09:00,0,63,1074.46,4,3,3,433,Others
12527.0,2011-09-19 11:55:00,81,16,296.71000000000004,2,2,2,222,Others
12528.0,2011-11-30 14:40:00,8,62,1121.63,4,3,3,433,Others
12530.0,2011-10-11 12:34:00,59,58,1292.88,2,3,3,233,Others
12531.0,2011-11-25 11:12:00,14,16,95.27,4,2,1,421,Others
12532.0,2011-11-09 13:47:00,29,14,297.33000000000004,3,1,2,312,Others
12534.0,2011-08-01 10:26:00,130,55,828.73,2,3,3,233,Others
12535.0,2011-09-09 08:48:00,91,28,577.85,2,2,3,223,Others
12536.0,2011-10-11 14:52:00,58,236,3767.61,2,4,4,244,Others
12538.0,2011-11-10 17:16:00,28,16,258.75,3,2,2,322,Others
12539.0,2011-11-17 13:30:00,21,233,4141.6,3,4,4,344,Others
12540.0,2011-11-20 11:31:00,19,409,9118.44,3,4,4,344,Others
12541.0,2011-11-10 10:40:00,29,46,751.98,3,3,3,333,Others
12544.0,2011-11-03 16:15:00,35,17,284.9,3,2,2,322,Others
12545.0,2011-09-25 13:39:00,74,41,712.84,2,3,3,233,Others
12546.0,2011-10-24 12:09:00,46,65,981.1,3,3,3,333,Others
12547.0,2011-05-26 12:38:00,197,6,151.79999999999998,1,1,1,111,Churned Customers
12548.0,2011-06-26 15:35:00,165,4,67.19999999999999,1,1,1,111,Churned Customers
12550.0,2011-09-21 14:35:00,78,52,748.88,2,3,3,233,Others
12551.0,2010-12-17 11:23:00,357,10,168.0,1,1,1,111,Churned Customers
12552.0,2011-10-31 12:11:00,39,9,165.47,3,1,1,311,Others
12553.0,2011-12-01 16:38:00,7,176,3143.28,4,4,4,444,Best Customers
12556.0,2011-10-20 13:06:00,49,111,517.81,3,4,2,342,Others
12557.0,2011-11-23 16:59:00,15,33,11990.960000000001,4,2,4,424,Others
12558.0,2011-12-02 10:41:00,7,11,269.96,4,1,2,412,Others
12559.0,2011-02-02 09:49:00,310,18,483.21000000000004,1,2,2,122,Others
12560.0,2011-12-04 13:54:00,4,97,1786.96,4,4,4,444,Best Customers
12561.0,2011-02-10 11:39:00,302,14,207.05,1,1,1,111,Churned Customers
12562.0,2011-12-01 17:20:00,7,153,3033.54,4,4,4,444,Best Customers
12564.0,2011-03-23 14:55:00,260,17,336.15,1,2,2,122,Others
12565.0,2011-02-24 10:34:00,288,9,145.92,1,1,1,111,Churned Customers
12566.0,2011-09-14 14:30:00,85,15,240.85,2,1,1,211,Others
12567.0,2011-11-17 11:02:00,22,391,6806.18,3,4,4,344,Others
12569.0,2011-12-07 16:24:00,1,140,2777.29,4,4,4,444,Best Customers
12571.0,2011-10-31 10:19:00,39,34,519.61,3,2,2,322,Others
12572.0,2011-12-01 09:20:00,8,50,703.07,4,3,3,433,Others
12573.0,2011-04-26 15:52:00,226,27,150.59,1,2,1,121,Others
12574.0,2011-01-28 09:20:00,315,9,162.55,1,1,1,111,Churned Customers
12576.0,2011-11-04 10:11:00,35,84,1244.03,3,3,3,333,Others
12577.0,2011-11-04 13:24:00,34,142,570.65,3,4,3,343,Others
12578.0,2011-11-18 13:30:00,20,107,2266.36,3,4,4,344,Others
12579.0,2011-09-22 17:15:00,77,24,329.12,2,2,2,222,Others
12580.0,2011-04-07 10:24:00,246,23,379.7,1,2,2,122,Others
12581.0,2011-10-31 08:56:00,39,13,169.76,3,1,1,311,Others
12582.0,2011-04-15 08:45:00,238,20,351.36,1,2,2,122,Others
12583.0,2011-12-07 08:07:00,2,226,6392.33,4,4,4,444,Best Customers
12584.0,2011-12-06 09:35:00,3,48,1100.6000000000001,4,3,3,433,Others
12585.0,2011-04-19 13:39:00,233,75,1459.35,1,3,4,134,Others
12586.0,2011-11-22 16:24:00,16,10,186.54000000000002,4,1,1,411,Others
12587.0,2011-12-02 12:47:00,7,3,104.0,4,1,1,411,Others
12588.0,2011-10-31 15:01:00,38,5,79.65,3,1,1,311,Others
12589.0,2011-11-11 10:19:00,28,26,417.28,3,2,2,322,Others
12590.0,2011-05-12 14:46:00,210,65,9065.86,1,3,4,134,Others
12591.0,2011-01-26 14:35:00,316,22,323.1,1,2,2,122,Others
12592.0,2011-09-08 15:04:00,91,16,401.6,2,2,2,222,Others
12593.0,2011-08-23 12:43:00,108,20,382.09999999999997,2,2,2,222,Others
12594.0,2011-11-02 12:20:00,37,113,3181.37,3,4,4,344,Others
12596.0,2011-10-19 13:02:00,50,22,397.46999999999997,3,2,2,322,Others
12597.0,2011-11-20 13:33:00,18,173,2708.47,3,4,4,344,Others
12598.0,2011-11-30 12:18:00,9,119,2493.93,4,4,4,444,Best Customers
12599.0,2011-11-10 13:34:00,28,55,888.58,3,3,3,333,Others
12600.0,2011-11-11 10:29:00,28,54,2311.04,3,3,4,334,Others
12601.0,2011-06-03 10:17:00,189,22,447.11,1,2,2,122,Others
12602.0,2011-10-12 11:22:00,58,11,129.22,2,1,1,211,Others
12603.0,2011-11-18 10:42:00,21,1,0.0,3,1,1,311,Others
12604.0,2011-09-21 14:08:00,78,15,236.18,2,1,1,211,Others
12607.0,2011-10-10 16:06:00,59,97,1513.66,2,4,4,244,Others
12609.0,2011-09-22 16:34:00,77,52,883.55,2,3,3,233,Others
12610.0,2011-11-17 09:34:00,22,85,1479.6399999999999,3,3,4,334,Others
12611.0,2011-10-18 13:12:00,51,60,1068.52,2,3,3,233,Others
12612.0,2011-09-26 15:35:00,73,18,668.0400000000001,2,2,3,223,Others
12613.0,2011-10-13 14:59:00,56,147,2997.58,2,4,4,244,Others
12614.0,2011-03-07 10:22:00,277,14,218.15,1,1,1,111,Churned Customers
12615.0,2011-12-07 15:02:00,1,93,1892.79,4,4,4,444,Best Customers
12616.0,2011-09-05 15:17:00,94,25,386.79999999999995,2,2,2,222,Others
12617.0,2011-11-10 14:39:00,28,39,335.63,3,3,2,332,Others
12618.0,2011-11-18 11:10:00,21,9,121.41,3,1,1,311,Others
12619.0,2011-11-23 14:52:00,15,78,2749.66,4,3,4,434,Others
12620.0,2011-11-25 10:20:00,14,88,1253.66,4,3,3,433,Others
12621.0,2011-12-08 11:25:00,1,426,10895.02,4,4,4,444,Best Customers
12622.0,2011-04-21 16:39:00,231,8,123.85,1,1,1,111,Churned Customers
12623.0,2011-03-08 13:50:00,275,17,269.1,1,2,2,122,Others
12624.0,2011-08-25 15:04:00,105,31,492.78,2,2,2,222,Others
12625.0,2011-05-12 09:54:00,211,81,2067.42,1,3,4,134,Others
12626.0,2011-11-16 16:06:00,22,272,5319.93,3,4,4,344,Others
12627.0,2011-11-29 12:07:00,10,209,3847.78,4,4,4,444,Best Customers
12628.0,2011-12-05 13:15:00,3,37,715.46,4,2,3,423,Others
12630.0,2011-11-30 10:48:00,9,55,905.08,4,3,3,433,Others
12631.0,2011-10-13 13:53:00,56,25,396.0,2,2,2,222,Others
12633.0,2011-10-12 11:40:00,58,92,1843.58,2,4,4,244,Others
12635.0,2011-09-11 11:04:00,89,92,1391.93,2,4,3,243,Others
12637.0,2011-10-03 13:46:00,66,355,5153.6,2,4,4,244,Others
12638.0,2011-11-06 13:11:00,32,38,511.69,3,3,2,332,Others
12639.0,2011-04-15 12:48:00,238,18,325.3,1,2,2,122,Others
12640.0,2011-11-16 11:52:00,23,36,609.53,3,2,3,323,Others
12641.0,2011-08-16 13:26:00,114,8,128.9,2,1,1,211,Others
12642.0,2011-11-14 15:03:00,24,41,851.41,3,3,3,333,Others
12643.0,2011-08-03 12:56:00,127,19,3043.64,2,2,4,224,Others
12644.0,2011-08-02 10:33:00,129,28,431.16,2,2,2,222,Others
12645.0,2011-11-06 12:38:00,33,69,1631.18,3,3,4,334,Others
12646.0,2011-12-05 10:14:00,4,43,1268.92,4,3,3,433,Others
12647.0,2011-11-17 12:56:00,21,95,2716.07,3,4,4,344,Others
12648.0,2011-07-08 11:55:00,154,19,255.3,1,2,2,122,Others
12649.0,2011-08-24 14:41:00,106,29,569.51,2,2,2,222,Others
12650.0,2011-12-06 16:34:00,2,19,242.44000000000003,4,2,1,421,Others
12651.0,2011-01-09 12:46:00,334,9,114.0,1,1,1,111,Churned Customers
12652.0,2011-01-12 15:00:00,330,44,732.28,1,3,3,133,Others
12653.0,2011-07-14 10:41:00,148,38,1408.85,1,3,3,133,Others
12654.0,2011-11-29 10:10:00,10,32,499.33,4,2,2,422,Others
12656.0,2011-11-22 13:42:00,16,101,3168.67,4,4,4,444,Best Customers
12657.0,2011-11-28 15:47:00,10,34,969.08,4,2,3,423,Others
12658.0,2011-11-21 10:22:00,18,29,535.4,3,2,2,322,Others
12659.0,2011-11-10 11:53:00,29,4,73.68,3,1,1,311,Others
12660.0,2011-11-28 13:26:00,10,12,227.1,4,1,1,411,Others
12662.0,2011-12-09 11:59:00,0,209,3302.03,4,4,4,444,Best Customers
12664.0,2011-12-01 17:07:00,7,28,4391.88,4,2,4,424,Others
12665.0,2011-01-19 08:34:00,324,2,45.0,1,1,1,111,Churned Customers
12667.0,2011-10-12 17:00:00,57,29,410.23,2,2,2,222,Others
12668.0,2011-11-28 10:56:00,11,142,2851.2,4,4,4,444,Best Customers
12669.0,2011-07-12 09:54:00,150,92,1327.48,1,4,3,143,Others
12670.0,2011-11-29 15:23:00,9,83,2499.5499999999997,4,3,4,434,Others
12672.0,2011-01-14 09:20:00,329,8,162.29999999999998,1,1,1,111,Churned Customers
12673.0,2011-12-04 13:55:00,4,37,510.92,4,2,2,422,Others
12674.0,2011-11-01 12:12:00,38,75,1559.6000000000001,3,3,4,334,Others
12676.0,2011-11-15 12:25:00,24,39,1091.39,3,3,3,333,Others
12678.0,2011-10-28 13:04:00,41,153,16203.36,3,4,4,344,Others
12679.0,2011-10-12 12:30:00,58,41,868.82,2,3,3,233,Others
12680.0,2011-12-09 12:50:00,0,47,751.01,4,3,3,433,Others
12681.0,2011-11-25 11:33:00,14,556,10959.94,4,4,4,444,Best Customers
12682.0,2011-12-06 10:00:00,3,453,10064.42,4,4,4,444,Best Customers
12683.0,2011-12-05 16:28:00,3,309,6426.57,4,4,4,444,Best Customers
12684.0,2011-12-02 09:53:00,7,97,2056.63,4,4,4,444,Best Customers
12685.0,2011-11-11 13:46:00,27,147,2451.33,3,4,4,344,Others
12686.0,2010-12-03 09:51:00,371,6,71.14,1,1,1,111,Churned Customers
12688.0,2011-08-18 08:49:00,113,150,3984.96,2,4,4,244,Others
12689.0,2011-11-14 08:31:00,25,66,1020.21,3,3,3,333,Others
12690.0,2011-05-18 09:09:00,205,13,265.11,1,1,2,112,Others
12691.0,2011-11-11 16:49:00,27,26,896.0,3,2,3,323,Others
12693.0,2011-08-04 17:51:00,126,28,476.51,2,2,2,222,Others
12694.0,2011-09-30 13:06:00,69,29,494.42,2,2,2,222,Others
12695.0,2011-12-02 13:22:00,6,18,356.6,4,2,2,422,Others
12697.0,2011-11-11 08:47:00,28,38,757.59,3,3,3,333,Others
12700.0,2011-12-02 10:47:00,7,247,4141.74,4,4,4,444,Best Customers
12701.0,2011-09-21 10:47:00,79,47,660.01,2,3,3,233,Others
12702.0,2011-11-20 10:36:00,19,11,201.0,3,1,1,311,Others
12703.0,2011-09-29 17:52:00,70,20,265.55,2,2,2,222,Others
12704.0,2011-12-02 13:15:00,6,70,1507.1399999999999,4,3,4,434,Others
12705.0,2011-11-24 13:17:00,14,298,5539.84,4,4,4,444,Best Customers
12707.0,2011-02-21 08:38:00,291,29,417.52000000000004,1,2,2,122,Others
12708.0,2011-11-10 09:52:00,29,128,2117.96,3,4,4,344,Others
12709.0,2011-11-24 15:38:00,14,178,6412.92,4,4,4,444,Best Customers
12710.0,2011-09-04 12:00:00,96,70,933.22,2,3,3,233,Others
12712.0,2011-11-11 08:19:00,28,90,2633.78,3,3,4,334,Others
12713.0,2011-12-09 12:16:00,0,36,722.85,4,2,3,423,Others
12714.0,2011-11-30 15:43:00,8,238,3847.0099999999998,4,4,4,444,Best Customers
12715.0,2011-08-25 15:22:00,105,19,273.86,2,2,2,222,Others
12716.0,2011-12-06 08:55:00,3,65,926.59,4,3,3,433,Others
12717.0,2011-07-11 14:47:00,150,51,774.03,1,3,3,133,Others
12718.0,2011-09-29 16:38:00,70,17,182.35,2,2,1,221,Others
12719.0,2011-12-04 13:45:00,4,34,498.55,4,2,2,422,Others
12720.0,2011-12-07 08:03:00,2,322,4761.2300000000005,4,4,4,444,Best Customers
12721.0,2011-11-08 12:13:00,31,143,2163.03,3,4,4,344,Others
12722.0,2011-08-17 08:50:00,114,45,807.7,2,3,3,233,Others
12723.0,2011-12-06 10:19:00,3,63,594.37,4,3,3,433,Others
12724.0,2011-12-04 16:02:00,4,49,923.41,4,3,3,433,Others
12725.0,2010-12-03 15:45:00,370,23,371.8,1,2,2,122,Others
12726.0,2011-11-11 13:35:00,27,117,2411.1,3,4,4,344,Others
12727.0,2011-11-29 11:46:00,10,121,2643.2,4,4,4,444,Best Customers
12728.0,2011-09-29 15:31:00,70,35,606.13,2,2,3,223,Others
12729.0,2011-08-18 11:40:00,113,22,360.71000000000004,2,2,2,222,Others
12731.0,2011-11-16 11:59:00,23,252,15493.91,3,4,4,344,Others
12732.0,2011-06-13 11:33:00,179,11,218.26000000000002,1,1,1,111,Churned Customers
12733.0,2011-04-19 16:19:00,233,21,307.45,1,2,2,122,Others
12734.0,2010-12-22 12:47:00,352,4,110.39999999999999,1,1,1,111,Churned Customers
12735.0,2011-01-28 13:37:00,314,27,375.07,1,2,2,122,Others
12736.0,2011-01-11 07:57:00,332,3,144.0,1,1,1,111,Churned Customers
12738.0,2010-12-02 18:27:00,371,8,110.4,1,1,1,111,Churned Customers
12739.0,2011-09-01 17:45:00,98,33,553.44,2,2,2,222,Others
12740.0,2011-10-07 10:44:00,63,25,378.8,2,2,2,222,Others
12743.0,2011-07-28 16:21:00,133,120,425.23,2,4,2,242,Others
12744.0,2011-10-14 14:54:00,55,202,7928.39,2,4,4,244,Others
12747.0,2011-12-07 14:34:00,1,85,3763.0099999999998,4,3,4,434,Others
12748.0,2011-12-09 12:20:00,0,4176,28487.14,4,4,4,444,Best Customers
12749.0,2011-12-06 09:56:00,3,149,2795.63,4,4,4,444,Best Customers
12750.0,2011-08-03 09:13:00,128,10,184.98,2,1,1,211,Others
12752.0,2011-09-19 13:32:00,80,49,3851.08,2,3,4,234,Others
12753.0,2011-11-17 10:52:00,22,193,20408.49,3,4,4,344,Others
12754.0,2011-04-18 09:00:00,235,63,3010.74,1,3,4,134,Others
12755.0,2011-03-04 12:42:00,280,3,3801.9999999999995,1,1,4,114,Others
12756.0,2011-09-14 09:31:00,86,4,112.07999999999998,2,1,1,211,Others
12757.0,2011-11-24 12:30:00,15,352,3966.3,4,4,4,444,Best Customers
12758.0,2011-08-15 10:22:00,116,95,2727.9900000000002,2,4,4,244,Others
12759.0,2011-10-18 14:49:00,51,86,1302.49,2,3,3,233,Others
12762.0,2011-12-02 10:23:00,7,66,1686.02,4,3,4,434,Others
12763.0,2011-07-24 14:12:00,137,18,494.08,2,2,2,222,Others
12764.0,2011-01-27 10:19:00,316,33,952.88,1,2,3,123,Others
12766.0,2011-12-06 08:46:00,3,285,6002.38,4,4,4,444,Best Customers
12769.0,2011-04-15 10:25:00,238,25,869.4,1,2,3,123,Others
12770.0,2011-05-13 09:33:00,210,10,863.4,1,1,3,113,Others
12772.0,2011-10-11 09:19:00,59,45,615.3199999999999,2,3,3,233,Others
12775.0,2011-11-22 16:33:00,16,51,1117.74,4,3,3,433,Others
12778.0,2011-11-20 11:30:00,19,40,633.73,3,3,3,333,Others
12779.0,2011-11-02 11:43:00,37,118,3073.0099999999998,3,4,4,344,Others
12781.0,2011-10-07 10:37:00,63,24,786.74,2,2,3,223,Others
12782.0,2011-12-05 09:16:00,4,95,1873.27,4,4,4,444,Best Customers
12783.0,2011-12-07 15:56:00,1,63,1025.22,4,3,3,433,Others
12784.0,2011-11-24 12:53:00,14,54,497.07,4,3,2,432,Others
12785.0,2010-12-10 13:48:00,363,12,239.0,1,1,1,111,Churned Customers
12787.0,2011-11-30 08:44:00,9,17,418.66,4,2,2,422,Others
12790.0,2011-05-31 14:14:00,191,16,199.42000000000002,1,2,1,121,Others
12791.0,2010-12-01 11:27:00,373,1,177.60000000000002,1,1,1,111,Churned Customers
12792.0,2011-03-28 11:36:00,256,23,329.59,1,2,2,122,Others
12793.0,2011-01-09 12:12:00,334,22,461.48,1,2,2,122,Others
12794.0,2011-10-17 14:54:00,52,44,840.51,2,3,3,233,Others
12795.0,2011-11-21 10:27:00,18,8,144.63,3,1,1,311,Others
